[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 0.00%, 4.043MiB / 3.871GiB, 0.10%, 29.1kB / 13.7kB, 0B / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.21%, 15.22MiB / 500MiB, 3.04%, 7.76kB / 1.75kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.22%, 4.422MiB / 125MiB, 3.54%, 6.42kB / 3.17kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 2.74kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 22.33%, 7.172MiB / 3.871GiB, 0.18%, 87.8kB / 146kB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 10.06%, 8.453MiB / 3.871GiB, 0.21%, 162kB / 101kB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.02%, 1.984MiB / 50MiB, 3.97%, 4.2kB / 2.38kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.14%, 9.906MiB / 50MiB, 19.81%, 3.18kB / 738B, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.15%, 15.23MiB / 500MiB, 3.05%, 9.68kB / 2.12kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.30%, 4.43MiB / 125MiB, 3.54%, 6.65kB / 3.28kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 2.74kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 18.54%, 7.18MiB / 3.871GiB, 0.18%, 95.8kB / 156kB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 10.06%, 8.453MiB / 3.871GiB, 0.21%, 162kB / 101kB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.02%, 1.984MiB / 50MiB, 3.97%, 4.2kB / 2.38kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.14%, 9.906MiB / 50MiB, 19.81%, 3.18kB / 738B, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.15%, 15.23MiB / 500MiB, 3.05%, 9.68kB / 2.12kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.30%, 4.43MiB / 125MiB, 3.54%, 6.65kB / 3.28kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 2.74kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 18.54%, 7.18MiB / 3.871GiB, 0.18%, 95.8kB / 156kB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 9.24%, 8.473MiB / 3.871GiB, 0.21%, 173kB / 109kB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 1.984MiB / 50MiB, 3.97%, 4.2kB / 2.38kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.32%, 9.906MiB / 50MiB, 19.81%, 3.18kB / 738B, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.00%, 15.23MiB / 500MiB, 3.05%, 9.68kB / 2.12kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.27%, 4.434MiB / 125MiB, 3.55%, 6.65kB / 3.28kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 2.74kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 22.72%, 7.191MiB / 3.871GiB, 0.18%, 104kB / 167kB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 9.24%, 8.473MiB / 3.871GiB, 0.21%, 173kB / 109kB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 1.984MiB / 50MiB, 3.97%, 4.2kB / 2.38kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.32%, 9.906MiB / 50MiB, 19.81%, 3.18kB / 738B, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.00%, 15.23MiB / 500MiB, 3.05%, 9.68kB / 2.12kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.27%, 4.434MiB / 125MiB, 3.55%, 6.65kB / 3.28kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 2.74kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 22.72%, 7.191MiB / 3.871GiB, 0.18%, 104kB / 167kB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 7.98%, 8.496MiB / 3.871GiB, 0.21%, 184kB / 118kB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 1.984MiB / 50MiB, 3.97%, 4.2kB / 2.38kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.26%, 9.906MiB / 50MiB, 19.81%, 3.18kB / 738B, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.00%, 15.23MiB / 500MiB, 3.05%, 9.68kB / 2.12kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.19%, 4.441MiB / 125MiB, 3.55%, 6.72kB / 3.28kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 2.74kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 22.38%, 7.203MiB / 3.871GiB, 0.18%, 113kB / 179kB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 7.98%, 8.496MiB / 3.871GiB, 0.21%, 184kB / 118kB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 1.984MiB / 50MiB, 3.97%, 4.2kB / 2.38kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.26%, 9.906MiB / 50MiB, 19.81%, 3.18kB / 738B, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.00%, 15.23MiB / 500MiB, 3.05%, 9.68kB / 2.12kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.19%, 4.441MiB / 125MiB, 3.55%, 6.72kB / 3.28kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 2.74kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 22.38%, 7.203MiB / 3.871GiB, 0.18%, 113kB / 179kB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 9.15%, 8.5MiB / 3.871GiB, 0.21%, 207kB / 127kB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 1.984MiB / 50MiB, 3.97%, 4.2kB / 2.38kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.19%, 9.906MiB / 50MiB, 19.81%, 3.18kB / 738B, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 1.48%, 15.35MiB / 500MiB, 3.07%, 9.68kB / 2.12kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.38%, 4.441MiB / 125MiB, 3.55%, 6.95kB / 3.39kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 2.81kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 22.17%, 7.219MiB / 3.871GiB, 0.18%, 121kB / 201kB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 9.15%, 8.5MiB / 3.871GiB, 0.21%, 207kB / 127kB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 1.984MiB / 50MiB, 3.97%, 4.2kB / 2.38kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.19%, 9.906MiB / 50MiB, 19.81%, 3.18kB / 738B, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 1.48%, 15.35MiB / 500MiB, 3.07%, 9.68kB / 2.12kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.38%, 4.441MiB / 125MiB, 3.55%, 6.95kB / 3.39kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 2.81kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 22.17%, 7.219MiB / 3.871GiB, 0.18%, 121kB / 201kB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 10.40%, 8.5MiB / 3.871GiB, 0.21%, 218kB / 137kB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 1.984MiB / 50MiB, 3.97%, 4.2kB / 2.38kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.27%, 9.906MiB / 50MiB, 19.81%, 3.18kB / 738B, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 1.04%, 15.36MiB / 500MiB, 3.07%, 11.6kB / 2.5kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.19%, 4.566MiB / 125MiB, 3.65%, 6.95kB / 3.39kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 2.81kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 21.29%, 7.223MiB / 3.871GiB, 0.18%, 130kB / 212kB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 10.40%, 8.5MiB / 3.871GiB, 0.21%, 218kB / 137kB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 1.984MiB / 50MiB, 3.97%, 4.2kB / 2.38kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.27%, 9.906MiB / 50MiB, 19.81%, 3.18kB / 738B, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 1.04%, 15.36MiB / 500MiB, 3.07%, 11.6kB / 2.5kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.19%, 4.566MiB / 125MiB, 3.65%, 6.95kB / 3.39kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 2.81kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 21.29%, 7.223MiB / 3.871GiB, 0.18%, 130kB / 212kB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 12.06%, 8.566MiB / 3.871GiB, 0.22%, 228kB / 145kB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.07%, 1.984MiB / 50MiB, 3.97%, 4.3kB / 2.61kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.33%, 9.91MiB / 50MiB, 19.82%, 3.25kB / 738B, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.00%, 15.36MiB / 500MiB, 3.07%, 11.7kB / 2.5kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.51%, 4.453MiB / 125MiB, 3.56%, 7.18kB / 3.5kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 2.81kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 20.95%, 7.227MiB / 3.871GiB, 0.18%, 138kB / 222kB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 12.06%, 8.566MiB / 3.871GiB, 0.22%, 228kB / 145kB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.07%, 1.984MiB / 50MiB, 3.97%, 4.3kB / 2.61kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.33%, 9.91MiB / 50MiB, 19.82%, 3.25kB / 738B, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.00%, 15.36MiB / 500MiB, 3.07%, 11.7kB / 2.5kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.51%, 4.453MiB / 125MiB, 3.56%, 7.18kB / 3.5kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 2.81kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 20.95%, 7.227MiB / 3.871GiB, 0.18%, 138kB / 222kB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 8.91%, 8.586MiB / 3.871GiB, 0.22%, 239kB / 153kB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 1.984MiB / 50MiB, 3.97%, 4.3kB / 2.61kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.17%, 9.91MiB / 50MiB, 19.82%, 3.25kB / 738B, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.01%, 15.36MiB / 500MiB, 3.07%, 11.7kB / 2.5kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.38%, 4.453MiB / 125MiB, 3.56%, 7.18kB / 3.5kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 2.81kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 24.18%, 7.234MiB / 3.871GiB, 0.18%, 146kB / 234kB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 8.91%, 8.586MiB / 3.871GiB, 0.22%, 239kB / 153kB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 1.984MiB / 50MiB, 3.97%, 4.3kB / 2.61kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.17%, 9.91MiB / 50MiB, 19.82%, 3.25kB / 738B, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.01%, 15.36MiB / 500MiB, 3.07%, 11.7kB / 2.5kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.38%, 4.453MiB / 125MiB, 3.56%, 7.18kB / 3.5kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 2.81kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 24.18%, 7.234MiB / 3.871GiB, 0.18%, 146kB / 234kB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 8.20%, 8.594MiB / 3.871GiB, 0.22%, 250kB / 162kB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 1.984MiB / 50MiB, 3.97%, 4.3kB / 2.61kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.19%, 9.91MiB / 50MiB, 19.82%, 3.25kB / 738B, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.00%, 15.36MiB / 500MiB, 3.07%, 11.7kB / 2.5kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.20%, 4.453MiB / 125MiB, 3.56%, 7.18kB / 3.5kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 2.81kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 20.86%, 7.242MiB / 3.871GiB, 0.18%, 154kB / 245kB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 8.20%, 8.594MiB / 3.871GiB, 0.22%, 250kB / 162kB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 1.984MiB / 50MiB, 3.97%, 4.3kB / 2.61kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.19%, 9.91MiB / 50MiB, 19.82%, 3.25kB / 738B, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.00%, 15.36MiB / 500MiB, 3.07%, 11.7kB / 2.5kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.20%, 4.453MiB / 125MiB, 3.56%, 7.18kB / 3.5kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 2.81kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 20.86%, 7.242MiB / 3.871GiB, 0.18%, 154kB / 245kB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 9.06%, 8.598MiB / 3.871GiB, 0.22%, 273kB / 171kB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 1.984MiB / 50MiB, 3.97%, 4.3kB / 2.61kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.19%, 9.91MiB / 50MiB, 19.82%, 3.25kB / 738B, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 2.13%, 18MiB / 500MiB, 3.60%, 11.7kB / 2.5kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.29%, 4.578MiB / 125MiB, 3.66%, 7.41kB / 3.6kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 2.81kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 20.86%, 7.242MiB / 3.871GiB, 0.18%, 154kB / 245kB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 9.06%, 8.598MiB / 3.871GiB, 0.22%, 273kB / 171kB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 1.984MiB / 50MiB, 3.97%, 4.3kB / 2.61kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.13%, 9.91MiB / 50MiB, 19.82%, 3.25kB / 738B, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 2.13%, 18MiB / 500MiB, 3.60%, 11.7kB / 2.5kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.29%, 4.578MiB / 125MiB, 3.66%, 7.41kB / 3.6kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 2.81kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 23.77%, 7.246MiB / 3.871GiB, 0.18%, 163kB / 267kB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 9.06%, 8.598MiB / 3.871GiB, 0.22%, 273kB / 171kB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 1.984MiB / 50MiB, 3.97%, 4.3kB / 2.61kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.13%, 9.91MiB / 50MiB, 19.82%, 3.25kB / 738B, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 2.13%, 18MiB / 500MiB, 3.60%, 11.7kB / 2.5kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.29%, 4.578MiB / 125MiB, 3.66%, 7.41kB / 3.6kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 2.81kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 23.77%, 7.246MiB / 3.871GiB, 0.18%, 163kB / 267kB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 12.98%, 8.668MiB / 3.871GiB, 0.22%, 285kB / 181kB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 1.984MiB / 50MiB, 3.97%, 4.3kB / 2.61kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.26%, 9.91MiB / 50MiB, 19.82%, 3.32kB / 804B, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.97%, 18.04MiB / 500MiB, 3.61%, 13.7kB / 2.94kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.25%, 4.461MiB / 125MiB, 3.57%, 7.41kB / 3.6kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 2.81kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 22.75%, 7.25MiB / 3.871GiB, 0.18%, 172kB / 278kB, 4.66MB / 0B
